,Name,Count_Gamers,Time,Age,Thematics,Categories
0,Эверделл. Базовое издание,1-4,40-80,10+,"['Стратегические игры', 'Семейные игры', 'Эверделл']","['Тематические', 'Для одного', 'Для двоих', 'Экономические игры']"
1,Бункер,4-16,30-60,18+,"['Бункер', 'Вечериночные игры']","['Тематические', 'Для взрослых 18+', 'Для компании', 'Карточные игры']"
2,Ужас Аркхэма. Карточная игра,1-2,60-120,18+,"['Ужас ', 'Аркхэма. ', 'Карточная игра', 'Живые карточные игры (', 'L', 'C', 'G)', 'Игры по вселенным', 'Ужас ', 'Аркхэма (', 'Arkham ', 'Horror ', 'Files)']","['Тематические', 'Детективные игры', 'Вселенная ', 'Лавкрафта', 'Для одного', 'Для двоих', 'Загадки и расследования']"
3,Комитет,2-4,60-120,12+,"['Комитет', 'Хардкорные игры', 'Стратегические игры']","['Детективные игры', 'Для двоих', 'Кооперативные игры']"
4,Fallout,1-4,120-180,13+,"['Игры по вселенным', 'Fallout']","['Тематические', 'Для одного', 'Для двоих', 'Понравится подростку', 'Игры для студентов', 'Приключенческие игры']"
5,CATAN: 3D Edition,3-4,60,10+,"['Стратегические игры', 'Семейные игры', 'Catan (', 'Колонизаторы)']","['На английском языке', 'Экономические игры']"
6,Каркассон,2-5,35+,7+,"['Семейные игры', 'Каркассон']","['Тематические', 'Что подарить на 8 марта?', 'Для двоих', 'Для компании', 'Для коллег']"
7,Миддара: Непреднамеренное зло. Акт 1,1-4,90-120,18+,"['Миддара', 'Хардкорные игры', 'Стратегические игры', 'Игры по вселенным']","['Для одного', 'Для двоих', 'Приключенческие игры']"
8,Эпичные схватки боевых магов: Крутагидон,2-5,45-60,18+,"['Вечериночные игры', 'Эпичные схватки боевых магов']","['Тематические', 'Для взрослых 18+', 'Для компании', 'Карточные игры', 'Игры для студентов']"
9,Страдающее Средневековье,3-6,20-30,18+,"['Вечериночные игры', 'Страдающее ', 'Средневековье']","['Для компании', 'Карточные игры']"
10,Манчкин: Биг Босс,3-6,60-120,12+,"['Вечериночные игры', 'Манчкин', 'Подарочные издания']","['Для компании', 'Карточные игры']"
11,Ticket to Ride: Европа ,2-5,30-60,8+,"['Ticket to ', 'Ride: 20 лет жизни ', 'Алана ', 'Муна до и после']",[]
12,Ужас Аркхэма. Карточная игра: Затонувший город. Сыщики,1-4,60-120,18+,"['Колоды сыщиков', 'Затонувший город', 'Ужас ', 'Аркхэма. ', 'Карточная игра', 'Живые карточные игры (', 'L', 'C', 'G)']","['Тематические', 'Вселенная ', 'Лавкрафта', 'Кооперативные игры']"
13,Cyberpunk 2077: Банды Найт-Сити,1-4,90-120,13+,"['Cyberpunk 2077: ', 'Банды ', 'Найт-', 'Сити', 'Хардкорные игры', 'Стратегические игры']",['Для одного']
