game_id,name,min_players,max_players,avg_players,min_duration,max_duration,avg_duration,min_age,max_age,avg_age,thematics_raw,categories_raw,thematics_list,categories_list,thematics_count,categories_count,cat_Для_компании,cat_Для_двоих,cat_Тематические,cat_Приключенческие_игры,cat_Кооперативные_игры,cat_Для_одного,cat_Карточные_игры,cat_Детективные_игры,cat_Экономические_игры,cat_Вселенная,cat_Лавкрафта,cat_Загадки_и_расследования,cat_Для_коллег,cat_Что_подарить_на_8_марта?,cat_Игры_с_мобильным_приложением,theme_Стратегические_игры,theme_Игры_по_вселенным,theme_Хардкорные_игры,theme_Семейные_игры,theme_Ужас,theme_Вечериночные_игры,theme_Аркхэма.,theme_Аркхэма_(,theme_Arkham,theme_Horror
1,Эверделл. Базовое издание,1,4,2.5,40,80,60.0,10,0,5.0,"Стратегические игры, Семейные игры, Эверделл","Тематические, Для одного, Для двоих, Экономические игры","['Стратегические игры', 'Семейные игры', 'Эверделл']","['Тематические', 'Для одного', 'Для двоих', 'Экономические игры']",3,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2,Бункер,4,16,10.0,30,60,45.0,18,0,9.0,"Бункер, Вечериночные игры","Тематические, Для взрослых 18+, Для компании, Карточные игры","['Бункер', 'Вечериночные игры']","['Тематические', 'Для взрослых 18+', 'Для компании', 'Карточные игры']",2,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,Ужас Аркхэма. Карточная игра,1,2,1.5,60,120,90.0,18,0,9.0,"Ужас, Аркхэма., Карточная игра, Живые карточные игры (, L, C, G), Игры по вселенным, Ужас, Аркхэма (, Arkham, Horror, Files)","Тематические, Детективные игры, Вселенная, Лавкрафта, Для одного, Для двоих, Загадки и расследования","['Ужас', 'Аркхэма.', 'Карточная игра', 'Живые карточные игры (', 'L', 'C', 'G)', 'Игры по вселенным', 'Ужас', 'Аркхэма (', 'Arkham', 'Horror', 'Files)']","['Тематические', 'Детективные игры', 'Вселенная', 'Лавкрафта', 'Для одного', 'Для двоих', 'Загадки и расследования']",13,7,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1
4,Комитет,2,4,3.0,60,120,90.0,12,0,6.0,"Комитет, Хардкорные игры, Стратегические игры","Детективные игры, Для двоих, Кооперативные игры","['Комитет', 'Хардкорные игры', 'Стратегические игры']","['Детективные игры', 'Для двоих', 'Кооперативные игры']",3,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5,Fallout,1,4,2.5,120,180,150.0,13,0,6.5,"Игры по вселенным, Fallout","Тематические, Для одного, Для двоих, Понравится подростку, Игры для студентов, Приключенческие игры","['Игры по вселенным', 'Fallout']","['Тематические', 'Для одного', 'Для двоих', 'Понравится подростку', 'Игры для студентов', 'Приключенческие игры']",2,6,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,CATAN: 3D Edition,3,4,3.5,60,60,60.0,10,0,5.0,"Стратегические игры, Семейные игры, Catan (, Колонизаторы)","На английском языке, Экономические игры","['Стратегические игры', 'Семейные игры', 'Catan (', 'Колонизаторы)']","['На английском языке', 'Экономические игры']",4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
7,Каркассон,2,5,3.5,35,0,17.5,7,0,3.5,"Семейные игры, Каркассон","Тематические, Что подарить на 8 марта?, Для двоих, Для компании, Для коллег","['Семейные игры', 'Каркассон']","['Тематические', 'Что подарить на 8 марта?', 'Для двоих', 'Для компании', 'Для коллег']",2,5,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
8,Миддара: Непреднамеренное зло. Акт 1,1,4,2.5,90,120,105.0,18,0,9.0,"Миддара, Хардкорные игры, Стратегические игры, Игры по вселенным","Для одного, Для двоих, Приключенческие игры","['Миддара', 'Хардкорные игры', 'Стратегические игры', 'Игры по вселенным']","['Для одного', 'Для двоих', 'Приключенческие игры']",4,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
9,Эпичные схватки боевых магов: Крутагидон,2,5,3.5,45,60,52.5,18,0,9.0,"Вечериночные игры, Эпичные схватки боевых магов","Тематические, Для взрослых 18+, Для компании, Карточные игры, Игры для студентов","['Вечериночные игры', 'Эпичные схватки боевых магов']","['Тематические', 'Для взрослых 18+', 'Для компании', 'Карточные игры', 'Игры для студентов']",2,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Страдающее Средневековье,3,6,4.5,20,30,25.0,18,0,9.0,"Вечериночные игры, Страдающее, Средневековье","Для компании, Карточные игры","['Вечериночные игры', 'Страдающее', 'Средневековье']","['Для компании', 'Карточные игры']",3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,Манчкин: Биг Босс,3,6,4.5,60,120,90.0,12,0,6.0,"Вечериночные игры, Манчкин, Подарочные издания","Для компании, Карточные игры","['Вечериночные игры', 'Манчкин', 'Подарочные издания']","['Для компании', 'Карточные игры']",3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,Ticket to Ride: Европа,2,5,3.5,30,60,45.0,8,0,4.0,"Ticket to, Ride: 20 лет жизни, Алана, Муна до и после",,"['Ticket to', 'Ride: 20 лет жизни', 'Алана', 'Муна до и после']",[],4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Ужас Аркхэма. Карточная игра: Затонувший город. Сыщики,1,4,2.5,60,120,90.0,18,0,9.0,"Колоды сыщиков, Затонувший город, Ужас, Аркхэма., Карточная игра, Живые карточные игры (, L, C, G)","Тематические, Вселенная, Лавкрафта, Кооперативные игры","['Колоды сыщиков', 'Затонувший город', 'Ужас', 'Аркхэма.', 'Карточная игра', 'Живые карточные игры (', 'L', 'C', 'G)']","['Тематические', 'Вселенная', 'Лавкрафта', 'Кооперативные игры']",9,4,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
14,Cyberpunk 2077: Банды Найт-Сити,1,4,2.5,90,120,105.0,13,0,6.5,"Cyberpunk 2077:, Банды, Найт-, Сити, Хардкорные игры, Стратегические игры",Для одного,"['Cyberpunk 2077:', 'Банды', 'Найт-', 'Сити', 'Хардкорные игры', 'Стратегические игры']",['Для одного'],6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
15,Ticket to Ride. Наследие: Легенды Запада,2,5,3.5,20,90,55.0,11,0,5.5,"Ticket to, Ride: 20 лет жизни, Алана, Муна до и после",,"['Ticket to', 'Ride: 20 лет жизни', 'Алана', 'Муна до и после']",[],4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
